trial,year_harvest,location,trial_type,plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,LODG,BRNLEV9,PLTHT9,NOHAV,RTNO,STARCH,BRNHB9,ANGBR9,STMDI9,PPSTD9,SHTWT,RTWT,BRNHT9,PLTHT6,FYLD,DYLD,TYLD,HI,DM,BRNHT6
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1295P0035_1179,TMS18F1295P0035,1179,8,,1,8,22,2,2,171.4,8,55,18.55,3,84.21,23.746,2,24.25,25.1,97,161.2,33.47,10.77,32.33,0.51,32.18,96
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-NA_1180,UNKNOWN1,1180,8,,1,8,21,1,2,166,7,45,15.68,3,77.03,25.716,2,34.85,19.55,100,155,26.07,7.83,46.47,0.36,30.03,99.6
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1299P0005_1181,TMS18F1299P0005,1181,8,,1,8,20,0,3,171,9,81,20.46,3,83.46,21.448,2,36.75,41.1,69,161,54.8,18.42,49,0.53,33.62,63
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1217P0121_1182,TMS18F1217P0121,1182,8,,1,8,19,2,3,133,7,74,15.91,2,66.97,21.576,2,23.59,24.41,40,125,32.55,9.83,31.45,0.51,30.2,32.6
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1156P0016_1183,TMS18F1156P0016,1183,8,,1,8,18,1,4,143,9,62,15.11,2,80.06,21.662,2,34.38,24.45,24,134,32.6,9.65,45.84,0.42,29.6,26
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1041P0002_1184,TMS18F1041P0002,1184,8,,1,8,17,2,2,139,5,28,12.49,2,75.62,21.946,1,24.75,11.73,52,141,15.64,4.32,33,0.32,27.64,46.6
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-IITA-TMS-IBA000070_1185,IITA-TMS-IBA000070,1185,8,1,1,8,16,0,1,141,7,61,20.39,3,80.57,22.938,2,32.05,26.7,64,128,35.6,11.95,42.73,0.45,33.56,65
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1258P0147_1186,TMS18F1258P0147,1186,8,,1,8,15,3,3,130,6,42,14.65,2,99.13,23.478,1,31.8,15.8,38,126,21.07,6.16,42.4,0.33,29.25,40.4
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1277P0007_1187,TMS18F1277P0007,1187,8,,1,8,14,3,2,130,6,56,13.72,3,65.42,20.854,2,30.42,18.47,63.6,117,24.63,7.03,40.56,0.38,28.56,71
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1056P0016_1188,TMS18F1056P0016,1188,8,,1,8,13,2,,,2,10,17.13,,,,3,17.65,5.85,,,7.8,2.43,23.53,0.25,31.11,
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1277P0031_1189,TMS18F1277P0031,1189,8,,1,8,12,2,2,171,6,50,12.97,3,75.56,21.818,3,29.3,19.45,99,132,25.93,7.26,39.07,0.4,27.99,
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1284P0003_1190,TMS18F1284P0003,1190,8,,1,8,11,0,,,2,18,12.17,,,,2,11.61,10.4,,,13.87,3.8,15.48,0.47,27.39,
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-IITA-TMS-IBA30572_1191,IITA-TMS-IBA30572,1191,8,1,1,8,10,0,2,145,3,42,13.97,3,95.96,25.404,2,34.45,15.3,52,130,20.4,5.86,45.93,0.31,28.74,53
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1408P0006_1192,TMS18F1408P0006,1192,8,,1,8,9,0,,115.4,2,16,12.72,,,,1,5.75,6.8,,104,9.07,2.52,7.67,0.54,27.8,
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1076P0001_1193,TMS18F1076P0001,1193,8,,1,8,8,,,,,,,,,,,,,,,,,,,,
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1264P0058_1194,TMS18F1264P0058,1194,8,,1,8,7,1,1,124,5,28,14.9,3,61.47,25.464,1,15.86,12.35,65,106,16.47,4.85,21.15,0.44,29.44,66
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1211P0035_1195,TMS18F1211P0035,1195,8,,1,8,6,0,,,3,20,18.64,,,,1,17.36,14.05,,,18.73,6.04,23.15,0.45,32.25,
