trial,year_harvest,location,trial_type,plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,SHTWT,RTWT,DM,STARCH,FYLD,DYLD,HI,NDVI3,NDVI6,NDVI9,LODG,PLTHTIII,PLTHTVI,PLTHTIX,ANGBR9,STMDI9,time
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1064P0027_1036,TMS18F1064P0027,1036,2,,1,2,15,20.25,38.05,31.06,17.06,38.05,11.82,0.65,0.81,0.87,0.85,,86,131,196,62.02,25.5,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1324P0171_1037,TMS18F1324P0171,1037,2,,1,2,14,3.45,9.5,28.43,13.55,9.5,2.7,0.73,0.81,0.86,0.85,,,,,,,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1277P0045_1038,TMS18F1277P0045,1038,2,,1,2,13,38.65,26.05,32.3,18.71,26.05,8.42,0.4,0.76,0.87,0.86,,118,188,253,89.23,41.14,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-IITA-TMS-IBA982101_1039,IITA-TMS-IBA982101,1039,2,1,1,2,12,16.78,16.15,35.06,22.38,16.15,5.66,0.49,0.84,0.88,0.81,,95,130,218,106.92,29.11,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1286P0012_1040,TMS18F1286P0012,1040,2,,1,2,11,24.55,35.4,35.3,22.71,35.4,12.5,0.59,0.78,0.89,0.83,,115,169,258,88.67,24.82,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1366P0012_1041,TMS18F1366P0012,1041,2,,1,2,10,28.85,48.08,29.53,15.02,48.08,14.2,0.62,0.8,0.85,0.85,,113,150,223,94.41,26.21,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1280P0091_1042,TMS18F1280P0091,1042,2,,1,2,9,27.98,27.45,36.6,24.43,27.45,10.05,0.5,0.86,0.89,0.79,,127,182,216,90.57,29.52,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1396P0053_1043,TMS18F1396P0053,1043,2,,1,2,8,11.12,20.13,34.03,21.01,20.13,6.85,0.64,0.81,0.85,0.82,,99,133,170,81.15,20.23,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-IITA-TMS-IBA980581_1044,IITA-TMS-IBA980581,1044,2,1,1,2,7,21.5,24.6,29.67,15.21,24.6,7.3,0.53,0.82,0.8,0.84,1,114,168,,0,29.39,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1520P0039_1045,TMS18F1520P0039,1045,2,,1,2,6,,,,,,,,,,,,,,,,,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1354P0027_1046,TMS18F1354P0027,1046,2,,1,2,5,29.45,36.8,40.07,29.05,36.8,14.75,0.56,0.8,0.9,0.85,,114,152,227,82.88,24.11,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1355p0038_1047,TMS18F1355p0038,1047,2,,1,2,4,11.7,7.05,34.43,21.54,7.05,2.43,0.38,0.85,0.88,0.87,2,119,153,159,89.44,28.07,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1069P0023_1048,TMS18F1069P0023,1048,2,,1,2,3,21.85,29.28,36.56,24.38,29.28,10.71,0.57,0.82,0.88,0.78,,111,160,251,0,21.39,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1163P0042_1049,TMS18F1163P0042,1049,2,,1,2,2,18.85,34.26,35.03,22.34,34.26,12,0.65,0.84,0.85,0.89,,72,98,150,79.38,22.05,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1365P0018_1050,TMS18F1365P0018,1050,2,,1,2,1,12.5,19.5,35.81,23.38,19.5,6.98,0.61,0.77,0.88,0.85,1,83,151,,,,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1319P0033_1051,TMS18F1319P0033,1051,3,,1,3,1,12.85,29.8,35.17,22.53,29.8,10.48,0.7,0.76,0.89,0.63,,85,127,156,85.15,23.21,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1004P0008_1052,TMS18F1004P0008,1052,3,,1,3,2,13.35,25.85,37.25,25.29,25.85,9.63,0.66,0.81,0.87,0.84,,99,129,195,0,22.3,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1336P0015_1053,TMS18F1336P0015,1053,3,,1,3,3,27.9,43.5,33.6,20.43,43.5,14.61,0.61,0.82,0.89,0.87,,114,167,244,0,20.41,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1348P0156_1054,TMS18F1348P0156,1054,3,,1,3,4,24.95,32.15,37.31,25.38,32.15,12,0.56,0.8,0.86,0.8,1,129,174,251,96.75,28.03,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1068P0063_1055,TMS18F1068P0063,1055,3,,1,3,5,4.7,4.15,,,4.15,,0.47,0.81,0.89,0.81,2,,,,,,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-IITA-TMS-IBA000070_1056,IITA-TMS-IBA000070,1056,3,1,1,3,6,27.65,39.5,33.63,20.48,39.5,13.28,0.59,0.81,8.6,0.77,4,132,183,228,86.54,27.36,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1348P0051_1057,TMS18F1348P0051,1057,3,,1,3,7,6.4,13.15,31.45,17.57,13.15,4.14,0.67,0.75,0.86,0.77,1,83,114,172,94.25,22.18,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1280P0151_1058,TMS18F1280P0151,1058,3,,1,3,8,11.85,20.1,31,16.98,20.1,6.23,0.63,0.78,0.87,0.74,4,111,154,180,100.88,22.01,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1215P0027_1059,TMS18F1215P0027,1059,3,,1,3,9,1.95,2.2,,,2.2,,0.53,0.77,0.8,0.82,1,,,,,,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1041P0005_1060,TMS18F1041P0005,1060,3,,1,3,10,14.39,29.55,38.52,26.99,29.55,11.38,0.67,0.8,0.85,0.77,2,103,121,165,103.7,23.71,3map
