trial,year_harvest,location,trial_type,plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,LODG,BRNLEV9,PLTHT9,NOHAV,RTNO,STARCH,BRNHB9,ANGBR9,STMDI9,PPSTD9,SHTWT,BRNHT9,PLTHT6,FYLD,DYLD,HI,BRNHT6
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1336P0015_1053,TMS18F1336P0015,1053,3,,1,3,3,0,2,171.6666667,9,80,29.43,3,88.4,24.21,2,17.3,112.5,157.3333333,36.1,14,0.61,105
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1348P0156_1054,TMS18F1348P0156,1054,3,,1,3,4,0,2,195.8333333,9,80,,3,92.31,23.92,2,24.4,100.8333333,198.3333333,34.7,13.3,0.52,101.6666667
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1068P0063_1055,TMS18F1068P0063,1055,3,,1,3,5,4,3,175,6,28,,2,79.58,24.1,2,11.55,77,165,4.5,,0.23,53.33333333
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-IITA-TMS-IBA000070_1056,IITA-TMS-IBA000070,1056,3,1,1,3,6,1,2,210.8333333,9,42,,2,86.11,28.13,2,20.25,104.1666667,185,20.7,6.5,0.43,90
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1348P0051_1057,TMS18F1348P0051,1057,3,,1,3,7,0,2,146.6666667,9,38,23.87,3,80.67,22.34,1,13.89,55.83333333,155,14.9,4.9,0.45,70
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1280P0151_1058,TMS18F1280P0151,1058,3,,1,3,8,0,2,166.6666667,9,31,21.41,3,65.48,23.69,2,12.45,100,177.6666667,25.7,8.9,0.61,88.33333333
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1215P0027_1059,TMS18F1215P0027,1059,3,,1,3,9,7,1,196.6666667,8,13,,2,,27.39,2,24.45,121.6666667,202.3333333,4.5,,0.12,121.3333333
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1041P0005_1060,TMS18F1041P0005,1060,3,,1,3,10,1,2,136.6666667,9,23,28.52,3,77.58,21.53,2,7,68.33333333,151.6666667,9.5,3.3,0.51,73.33333333
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1073P0038_1061,TMS18F1073P0038,1061,3,,1,3,11,7,2,247.5,8,6,,3,78.78,27.61,2,25.55,113.3333333,233.3333333,2.7,,0.07,120
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-IITA-TMS-IBA30572_1062,IITA-TMS-IBA30572,1062,3,1,1,3,12,1,2,159.1666667,9,32,,3,,22.37,1,16.25,118.3333333,178,11.4,2.9,0.34,103.3333333
