Genotypes,Replication,ANGBR9,BRNHB9,BRNHT9,BRNHT6,BRNLEV9,DM,DYLD,FYLD,HI,LODG,NOHAV,PLTHT9,PLTHT6,PPSTD9,PT,RTNO,RTWT,SHTWT,STARCH,STMDI9,TYLD,VR
G396,1,79.85634573,3.020826351,98.01649958,96.46765234,1.982891105,30.9105672,7.24847268,23.7528013,0.447992208,1.418612504,8.4053089,183.0835431,177.6033737,2.132750401,2.730772942,32.79684107,17.78741255,20.56843848,23.20112868,23.98875172,27.29478846,2.730772942
G397,1,72.84332364,2.716895344,110.9994253,111.4183055,1.359477443,35.34760243,7.731904792,18.58178207,0.439382973,1.571233398,6.931307465,172.859819,178.0479677,2.113810336,2.730772942,38.97942129,13.68998056,16.27549066,27.77060047,23.06721962,22.2974894,2.730772942
G398,1,89.89614288,2.73086253,78.43917233,66.49196969,2.464107177,31.01156648,6.590064353,19.91031056,0.432889086,1.125646521,8.10574478,186.4807162,187.9232056,1.518221857,2.730772942,36.7245633,14.50529017,18.87685627,23.69489043,25.58706539,25.45055381,2.730772942
G399,1,79.20805018,3.071685696,83.99573298,84.35436201,2.259391251,35.42711829,8.843393651,24.92037928,0.542091447,1.980753243,8.569599019,175.5918334,182.216255,1.309904673,2.730772942,40.13095312,18.71122116,14.9639403,27.79364248,23.40966326,20.46621093,2.730772942
G400,1,82.32260941,3.082950286,56.96337881,58.45940545,2.525840513,34.02567387,5.508738181,15.16041644,0.372246107,1.898620812,7.210671476,194.3953768,187.9187042,1.351458757,2.730772942,26.32583193,10.99555092,17.55485767,25.37635956,29.23227369,23.35258547,2.730772942
G401,1,80.33779006,2.684632216,49.39042225,55.39618397,2.380215145,31.59292604,5.25318971,15.27649633,0.423994913,1.790890618,6.561337362,145.4983619,139.8744795,1.412398698,2.730772942,19.097592,10.93944769,13.95332111,26.42827917,25.18155466,19.33335651,2.730772942
G402,1,81.69104575,3.051578554,79.50754007,79.93747956,2.609167662,32.3511675,5.760793939,16.96687365,0.345432761,2.014743666,8.216749357,199.8716658,190.8068304,1.504487508,2.730772942,29.71610604,12.87613951,22.77917937,23.41843035,29.01199722,29.68726263,2.730772942
G403,1,83.13202122,2.926242639,70.18565844,93.28997592,2.242052923,33.77191262,5.447217648,15.50991606,0.343583358,3.05577224,6.637869613,193.0695677,203.8096459,1.584873342,2.730772942,26.56122779,11.36652798,20.80297813,25.13415771,27.27123495,27.03709031,2.730772942
G404,1,80.06257666,2.634090353,65.00614612,71.44157741,2.395740446,34.30532183,5.389146249,13.84469864,0.38193898,3.211659146,7.72910673,176.0767844,184.2739498,1.452611282,2.730772942,25.84420618,10.03119564,15.88945201,25.65030973,23.28977364,21.56052659,2.730772942
G405,1,57.01890483,2.185798381,92.71273138,92.10628895,1.442089173,34.67713648,7.541469044,22.20622004,0.500677485,1.092418987,8.18060003,157.5172164,155.6265883,2.070373663,2.730772942,43.50512888,16.79728736,16.77802103,26.02287018,21.55773919,21.93281711,2.730772942
